,0,1,2,3,4,5,6,7,8,9,Avg
0,0.879629612,0.870370388,0.92592591,0.935185194,0.944444418,0.82407409,0.879629612,0.916666687,0.898148119,0.888888896,0.896296293
1,0.888888896,0.870370388,0.916666687,0.82407409,0.888888896,0.953703701,0.842592597,0.907407403,0.907407403,0.833333313,0.883333337
2,0.879629612,0.907407403,0.879629612,0.962962985,0.879629612,0.888888896,0.879629612,0.879629612,0.888888896,0.861111104,0.890740734
3,0.953703701,0.879629612,0.833333313,0.870370388,0.898148119,0.898148119,0.870370388,0.879629612,0.916666687,0.851851881,0.885185182
4,0.879629612,0.907407403,0.907407403,0.870370388,0.888888896,0.907407403,0.870370388,0.879629612,0.898148119,0.842592597,0.885185182
5,0.870370388,0.898148119,0.861111104,0.935185194,0.935185194,0.861111104,0.907407403,0.907407403,0.870370388,0.851851881,0.889814818
6,0.861111104,0.907407403,0.916666687,0.870370388,0.898148119,0.851851881,0.907407403,0.916666687,0.888888896,0.870370388,0.888888896
7,0.851851881,0.916666687,0.851851881,0.879629612,0.935185194,0.944444418,0.879629612,0.907407403,0.861111104,0.879629612,0.89074074
8,0.879629612,0.907407403,0.833333313,0.898148119,0.833333313,0.898148119,0.953703701,0.898148119,0.888888896,0.935185194,0.892592579
9,0.907407403,0.907407403,0.879629612,0.907407403,0.861111104,0.907407403,0.851851881,0.898148119,0.935185194,0.842592597,0.889814812
10,0.898148119,0.92592591,0.870370388,0.888888896,0.879629612,0.82407409,0.898148119,0.888888896,0.92592591,0.879629612,0.887962955
11,0.916666687,0.879629612,0.870370388,0.898148119,0.888888896,0.916666687,0.861111104,0.907407403,0.861111104,0.851851881,0.885185188
12,0.870370388,0.916666687,0.907407403,0.907407403,0.907407403,0.879629612,0.851851881,0.92592591,0.907407403,0.861111104,0.893518519
13,0.898148119,0.962962985,0.916666687,0.879629612,0.870370388,0.833333313,0.851851881,0.944444418,0.888888896,0.888888896,0.893518519
14,0.935185194,0.92592591,0.851851881,0.842592597,0.916666687,0.842592597,0.861111104,0.898148119,0.888888896,0.888888896,0.885185188
15,0.888888896,0.92592591,0.861111104,0.898148119,0.888888896,0.916666687,0.861111104,0.907407403,0.907407403,0.861111104,0.891666663
16,0.944444418,0.870370388,0.907407403,0.861111104,0.870370388,0.851851881,0.888888896,0.888888896,0.916666687,0.888888896,0.888888896
17,0.916666687,0.898148119,0.879629612,0.870370388,0.879629612,0.861111104,0.92592591,0.870370388,0.888888896,0.888888896,0.887962961
18,0.916666687,0.92592591,0.833333313,0.898148119,0.879629612,0.907407403,0.907407403,0.870370388,0.879629612,0.907407403,0.892592585
19,0.879629612,0.907407403,0.851851881,0.935185194,0.870370388,0.870370388,0.898148119,0.879629612,0.916666687,0.851851881,0.886111116
Avg,0.895833331,0.905555552,0.877777779,0.891666666,0.890740737,0.881944445,0.882407406,0.898611104,0.89675926,0.871296301,0.889259258
